mantis_id,year,doy,date,block,snow,otc,treatment,air_temp_min,air_temp_mean,air_temp_max,relative_humidity
9735535,2010,135,2010-05-15,4,A,O,A.O,-6.77,7.827734722,23.064,66.36597222
9735539,2010,135,2010-05-15,3,A,O,A.O,-6.61,7.439073611,16.463,67.13305556
9735548,2010,135,2010-05-15,5,A,O,A.O,-6.642,6.682501389,26.891,67.95430556
9735541,2010,135,2010-05-15,2,A,O,A.O,-6.706,6.244766667,13.978,70.01263889
9735551,2010,135,2010-05-15,1,A,O,A.O,-6.579,5.258638889,15.199,70.25222222
9735542,2010,135,2010-05-15,5,A,N,A.N,-7.026,3.574644444,15.629,75.96263889
9735534,2010,135,2010-05-15,1,A,N,A.N,-7.219,3.044123611,13.064,76.82708333
9735545,2010,135,2010-05-15,3,A,N,A.N,-7.219,3.413855556,15.796,76.84861111
9735536,2010,135,2010-05-15,4,A,N,A.N,-7.122,3.2813875,13.57,77.21444444
9735538,2010,135,2010-05-15,2,A,N,A.N,-7.251,2.505159722,11.71,78.86180556
9735548,2010,136,2010-05-16,5,A,O,A.O,-6.42,7.2201375,20.269,67.21847222
9735541,2010,136,2010-05-16,2,A,O,A.O,-6.42,7.394788889,20.865,67.33277778
9735535,2010,136,2010-05-16,4,A,O,A.O,-6.452,6.472768056,19.579,69.20152778
9735539,2010,136,2010-05-16,3,A,O,A.O,-6.388,7.402059722,21.652,69.21722222
9735551,2010,136,2010-05-16,1,A,O,A.O,-6.388,6.714315278,18.771,69.38194444
9735542,2010,136,2010-05-16,5,A,N,A.N,-6.168,3.378340278,13.185,77.42291667
9735534,2010,136,2010-05-16,1,A,N,A.N,-6.294,3.153491667,11.346,78.05708333
9735545,2010,136,2010-05-16,3,A,N,A.N,-6.199,3.137269444,10.369,78.38027778
9735536,2010,136,2010-05-16,4,A,N,A.N,-6.136,2.952491667,10.1,78.87180556
9735538,2010,136,2010-05-16,2,A,N,A.N,-6.357,2.936945833,10.565,79.01125
9735548,2010,137,2010-05-17,5,A,O,A.O,-4.53,8.630097222,22.202,64.80763889
