year,doy,date,block,tussock,treatment,collembola_raw,fmites_raw,pmites_raw,volume,dry.weight,collembola,fmites,pmites,bugs
2012,159,2012-06-07,1,I,A.N,55,286,26,1122,66.989,49.01960784,254.9019608,23.17290553,327.0944742
2012,170,2012-06-18,1,I,A.N,113,228,54,600,28.836,188.3333333,380,90,658.3333333
2012,180,2012-06-28,1,I,A.N,146,368,38,420,26.799,347.6190476,876.1904762,90.47619048,1314.285714
2012,191,2012-07-09,1,I,A.N,117,346,21,720,74.552,162.5,480.5555556,29.16666667,672.2222222
2012,208,2012-07-26,1,I,A.N,56,165,21,539,31.158,103.8961039,306.122449,38.96103896,448.9795918
2012,159,2012-06-07,1,I,C.N,74,104,23,840,63.733,88.0952381,123.8095238,27.38095238,239.2857143
2012,170,2012-06-18,1,I,C.N,220,498,78,392,31.89,561.2244898,1270.408163,198.9795918,2030.612245
2012,180,2012-06-28,1,I,C.N,151,622,84,784,35.315,192.6020408,793.3673469,107.1428571,1093.112245
2012,191,2012-07-09,1,I,C.N,628,821,86,486,19.373,1292.18107,1689.300412,176.9547325,3158.436214
2012,208,2012-07-26,1,I,C.N,195,355,108,960,43.304,203.125,369.7916667,112.5,685.4166667
2012,159,2012-06-07,2,I,A.N,156,154,11,1197,111.818,130.3258145,128.6549708,9.189640769,268.1704261
2012,170,2012-06-18,2,I,A.N,193,386,32,616,44.968,313.3116883,626.6233766,51.94805195,991.8831169
2012,180,2012-06-28,2,I,A.N,298,288,101,392,24.325,760.2040816,734.6938776,257.6530612,1752.55102
2012,191,2012-07-09,2,I,A.N,126,599,77,1152,41.994,109.375,519.9652778,66.84027778,696.1805556
2012,208,2012-07-26,2,I,A.N,153,432,120,504,40.244,303.5714286,857.1428571,238.0952381,1398.809524
2012,159,2012-06-07,2,I,C.N,33,114,14,598.5,27.144,55.13784461,190.4761905,23.39181287,269.005848
2012,170,2012-06-18,2,I,C.N,182,290,96,990,38.763,183.8383838,292.9292929,96.96969697,573.7373737
2012,180,2012-06-28,2,I,C.N,79,478,65,560,15.644,141.0714286,853.5714286,116.0714286,1110.714286
2012,191,2012-07-09,2,I,C.N,109,266,43,1008,39.423,108.1349206,263.8888889,42.65873016,414.6825397
2012,208,2012-07-26,2,I,C.N,151,454,99,637,44.336,237.0486656,712.7158556,155.4160126,1105.180534
2012,159,2012-06-07,3,I,A.N,61,226,55,900,32.795,67.77777778,251.1111111,61.11111111,380
2012,170,2012-06-18,3,I,A.N,130,251,44,792,29.336,164.1414141,316.9191919,55.55555556,536.6161616
2012,180,2012-06-28,3,I,A.N,127,357,55,624,33.394,203.525641,572.1153846,88.14102564,863.7820513
2012,191,2012-07-09,3,I,A.N,300,518,134,1224,42.507,245.0980392,423.2026144,109.4771242,777.7777778
2012,208,2012-07-26,3,I,A.N,158,421,74,672,34.068,235.1190476,626.4880952,110.1190476,971.7261905
2012,159,2012-06-07,3,I,C.N,30,127,9,585,48.349,51.28205128,217.0940171,15.38461538,283.7606838
2012,170,2012-06-18,3,I,C.N,348,620,79,900,32.265,386.6666667,688.8888889,87.77777778,1163.333333
2012,180,2012-06-28,3,I,C.N,94,326,67,637,26.638,147.566719,511.7739403,105.1805338,764.5211931
2012,191,2012-07-09,3,I,C.N,280,295,66,576,39.096,486.1111111,512.1527778,114.5833333,1112.847222
2012,208,2012-07-26,3,I,C.N,239,283,41,576,43.21,414.9305556,491.3194444,71.18055556,977.4305556
2012,159,2012-06-07,4,I,A.N,69,121,34,648,42.274,106.4814815,186.7283951,52.4691358,345.6790123
