block,treatment,tussock,datetime,year,doy,hour,temp
1,A.N,I,2009-08-18 09:01,2009,230,9,3
1,A.N,I,2009-08-18 13:01,2009,230,13,1
1,A.N,I,2009-08-18 17:01,2009,230,17,1
1,A.N,I,2009-08-18 21:01,2009,230,21,1
1,A.N,I,2009-08-19 01:01,2009,231,1,1
1,A.N,I,2009-08-19 05:01,2009,231,5,0.5
1,A.N,I,2009-08-19 09:01,2009,231,9,0.5
1,A.N,I,2009-08-19 13:01,2009,231,13,0.5
1,A.N,I,2009-08-19 17:01,2009,231,17,1
1,A.N,I,2009-08-19 21:01,2009,231,21,1
1,A.N,I,2009-08-20 01:01,2009,232,1,1
1,A.N,I,2009-08-20 05:01,2009,232,5,0.5
1,A.N,I,2009-08-20 09:01,2009,232,9,0.5
1,A.N,I,2009-08-20 13:01,2009,232,13,0.5
1,A.N,I,2009-08-20 17:01,2009,232,17,1
1,A.N,I,2009-08-20 21:01,2009,232,21,1
1,A.N,I,2009-08-21 01:01,2009,233,1,1
1,A.N,I,2009-08-21 05:01,2009,233,5,0.5
1,A.N,I,2009-08-21 09:01,2009,233,9,0.5
1,A.N,I,2009-08-21 13:01,2009,233,13,0.5
1,A.N,I,2009-08-21 17:01,2009,233,17,1.5
1,A.N,I,2009-08-21 21:01,2009,233,21,2
1,A.N,I,2009-08-22 01:01,2009,234,1,2
1,A.N,I,2009-08-22 05:01,2009,234,5,1.5
1,A.N,I,2009-08-22 09:01,2009,234,9,1
1,A.N,I,2009-08-22 13:01,2009,234,13,1.5
1,A.N,I,2009-08-22 17:01,2009,234,17,2
1,A.N,I,2009-08-22 21:01,2009,234,21,2
1,A.N,I,2009-08-23 01:01,2009,235,1,1.5
1,A.N,I,2009-08-23 05:01,2009,235,5,1.5
1,A.N,I,2009-08-23 09:01,2009,235,9,1
1,A.N,I,2009-08-23 13:01,2009,235,13,2
1,A.N,I,2009-08-23 17:01,2009,235,17,3
1,A.N,I,2009-08-23 21:01,2009,235,21,3
1,A.N,I,2009-08-24 01:01,2009,236,1,2
1,A.N,I,2009-08-24 05:01,2009,236,5,1.5
1,A.N,I,2009-08-24 09:01,2009,236,9,1.5
1,A.N,I,2009-08-24 13:01,2009,236,13,2
1,A.N,I,2009-08-24 17:01,2009,236,17,2.5
1,A.N,I,2009-08-24 21:01,2009,236,21,3
1,A.N,I,2009-08-25 01:01,2009,237,1,2
1,A.N,I,2009-08-25 05:01,2009,237,5,2
1,A.N,I,2009-08-25 09:01,2009,237,9,1.5
1,A.N,I,2009-08-25 13:01,2009,237,13,1
1,A.N,I,2009-08-25 17:01,2009,237,17,1
1,A.N,I,2009-08-25 21:01,2009,237,21,1
1,A.N,I,2009-08-26 01:01,2009,238,1,0.5
1,A.N,I,2009-08-26 05:01,2009,238,5,0.5
1,A.N,I,2009-08-26 09:01,2009,238,9,0.5
1,A.N,I,2009-08-26 13:01,2009,238,13,0.5
1,A.N,I,2009-08-26 17:01,2009,238,17,0.5
1,A.N,I,2009-08-26 21:01,2009,238,21,0.5
1,A.N,I,2009-08-27 01:01,2009,239,1,0.5
1,A.N,I,2009-08-27 05:01,2009,239,5,0.5
1,A.N,I,2009-08-27 09:01,2009,239,9,0.5
1,A.N,I,2009-08-27 13:01,2009,239,13,0.5
1,A.N,I,2009-08-27 17:01,2009,239,17,0.5
1,A.N,I,2009-08-27 21:01,2009,239,21,1
1,A.N,I,2009-08-28 01:01,2009,240,1,1
1,A.N,I,2009-08-28 05:01,2009,240,5,1
1,A.N,I,2009-08-28 09:01,2009,240,9,0.5
1,A.N,I,2009-08-28 13:01,2009,240,13,0.5
1,A.N,I,2009-08-28 17:01,2009,240,17,1
1,A.N,I,2009-08-28 21:01,2009,240,21,1
1,A.N,I,2009-08-29 01:01,2009,241,1,1
1,A.N,I,2009-08-29 05:01,2009,241,5,0.5
1,A.N,I,2009-08-29 09:01,2009,241,9,0.5
1,A.N,I,2009-08-29 13:01,2009,241,13,1
1,A.N,I,2009-08-29 17:01,2009,241,17,1
1,A.N,I,2009-08-29 21:01,2009,241,21,1.5
1,A.N,I,2009-08-30 01:01,2009,242,1,1.5
1,A.N,I,2009-08-30 05:01,2009,242,5,1
1,A.N,I,2009-08-30 09:01,2009,242,9,1
1,A.N,I,2009-08-30 13:01,2009,242,13,1
1,A.N,I,2009-08-30 17:01,2009,242,17,1
1,A.N,I,2009-08-30 21:01,2009,242,21,0.5
1,A.N,I,2009-08-31 01:01,2009,243,1,0.5
1,A.N,I,2009-08-31 05:01,2009,243,5,0.5
1,A.N,I,2009-08-31 09:01,2009,243,9,0.5
1,A.N,I,2009-08-31 13:01,2009,243,13,0.5
1,A.N,I,2009-08-31 17:01,2009,243,17,0.5
1,A.N,I,2009-08-31 21:01,2009,243,21,0.5
1,A.N,I,2009-09-01 01:01,2009,244,1,0.5
1,A.N,I,2009-09-01 05:01,2009,244,5,1
1,A.N,I,2009-09-01 09:01,2009,244,9,1
1,A.N,I,2009-09-01 13:01,2009,244,13,1
1,A.N,I,2009-09-01 17:01,2009,244,17,1
1,A.N,I,2009-09-01 21:01,2009,244,21,1.5
1,A.N,I,2009-09-02 01:01,2009,245,1,1
1,A.N,I,2009-09-02 05:01,2009,245,5,1
1,A.N,I,2009-09-02 09:01,2009,245,9,1
1,A.N,I,2009-09-02 13:01,2009,245,13,1
1,A.N,I,2009-09-02 17:01,2009,245,17,1.5
1,A.N,I,2009-09-02 21:01,2009,245,21,1.5
1,A.N,I,2009-09-03 01:01,2009,246,1,1.5
1,A.N,I,2009-09-03 05:01,2009,246,5,1
1,A.N,I,2009-09-03 09:01,2009,246,9,1.5
1,A.N,I,2009-09-03 13:01,2009,246,13,1.5
1,A.N,I,2009-09-03 17:01,2009,246,17,2
1,A.N,I,2009-09-03 21:01,2009,246,21,2
1,A.N,I,2009-09-04 01:01,2009,247,1,2
1,A.N,I,2009-09-04 05:01,2009,247,5,2
1,A.N,I,2009-09-04 09:01,2009,247,9,1.5
1,A.N,I,2009-09-04 13:01,2009,247,13,2
1,A.N,I,2009-09-04 17:01,2009,247,17,2
1,A.N,I,2009-09-04 21:01,2009,247,21,2
