mantis_id,year,doy,date,block,snow,otc,treatment,n,NDVI,NDVI_stdv,NDVI_se
9735534,2010,135,2010-05-15,1,A,N,A.N,41,0.617739562,6.04E-03,9.43E-04
9735538,2010,135,2010-05-15,2,A,N,A.N,41,0.635777633,3.28E-03,5.13E-04
9735545,2010,135,2010-05-15,3,A,N,A.N,41,0.657240622,4.34E-03,6.78E-04
9735536,2010,135,2010-05-15,4,A,N,A.N,41,0.615311086,4.35E-03,6.80E-04
9735542,2010,135,2010-05-15,5,A,N,A.N,31,0.608476306,1.91E-02,3.43E-03
9735551,2010,135,2010-05-15,1,A,O,A.O,22,0.619031258,1.05E-02,2.23E-03
9735541,2010,135,2010-05-15,2,A,O,A.O,41,0.606770636,9.01E-03,1.41E-03
9735539,2010,135,2010-05-15,3,A,O,A.O,33,0.625992699,5.93E-03,1.03E-03
9735548,2010,135,2010-05-15,5,A,O,A.O,26,0.603940188,0.017777415,3.49E-03
9735534,2010,136,2010-05-16,1,A,N,A.N,16,0.610171344,1.05E-02,2.62E-03
9735538,2010,136,2010-05-16,2,A,N,A.N,22,0.625085834,0.034232933,7.30E-03
9735545,2010,136,2010-05-16,3,A,N,A.N,5,0.647500757,1.69E-02,7.54E-03
9735536,2010,136,2010-05-16,4,A,N,A.N,13,0.63585839,9.92E-03,2.75E-03
9735542,2010,136,2010-05-16,5,A,N,A.N,28,0.637105618,1.35E-02,2.54E-03
9735551,2010,136,2010-05-16,1,A,O,A.O,9,0.612794479,2.44E-02,8.12E-03
9735541,2010,136,2010-05-16,2,A,O,A.O,7,0.628239583,2.39E-02,9.03E-03
9735539,2010,136,2010-05-16,3,A,O,A.O,11,0.674728994,1.36E-02,4.11E-03
9735535,2010,136,2010-05-16,4,A,O,A.O,13,0.588841377,1.22E-02,3.37E-03
9735548,2010,136,2010-05-16,5,A,O,A.O,27,0.631543301,1.30E-02,2.51E-03
9735534,2010,137,2010-05-17,1,A,N,A.N,73,0.613228659,7.82E-03,9.16E-04
9735538,2010,137,2010-05-17,2,A,N,A.N,79,0.632036791,6.49E-03,7.30E-04
9735545,2010,137,2010-05-17,3,A,N,A.N,61,0.637755039,7.08E-03,9.07E-04
9735536,2010,137,2010-05-17,4,A,N,A.N,69,0.636193915,8.70E-03,1.05E-03
9735542,2010,137,2010-05-17,5,A,N,A.N,79,0.627740803,1.40E-02,1.57E-03
9735551,2010,137,2010-05-17,1,A,O,A.O,64,0.632754007,9.36E-03,1.17E-03
9735541,2010,137,2010-05-17,2,A,O,A.O,67,0.643961678,1.27E-02,1.56E-03
9735539,2010,137,2010-05-17,3,A,O,A.O,60,0.668203246,1.12E-02,1.44E-03
9735535,2010,137,2010-05-17,4,A,O,A.O,67,0.583589732,9.04E-03,1.10E-03
9735548,2010,137,2010-05-17,5,A,O,A.O,78,0.620568352,1.21E-02,1.37E-03
9735534,2010,138,2010-05-18,1,A,N,A.N,18,0.611100998,9.77E-03,2.30E-03
9735538,2010,138,2010-05-18,2,A,N,A.N,22,0.63368093,7.57E-03,1.61E-03
9735545,2010,138,2010-05-18,3,A,N,A.N,15,0.64239318,5.22E-03,1.35E-03
9735536,2010,138,2010-05-18,4,A,N,A.N,26,0.639577944,6.07E-03,0.00119108
9735542,2010,138,2010-05-18,5,A,N,A.N,30,0.631554844,8.38E-03,1.53E-03
9735551,2010,138,2010-05-18,1,A,O,A.O,15,0.635603725,5.75E-03,1.49E-03
9735541,2010,138,2010-05-18,2,A,O,A.O,16,0.648495173,9.23E-03,2.31E-03
9735539,2010,138,2010-05-18,3,A,O,A.O,23,0.674159524,5.81E-03,1.21E-03
9735535,2010,138,2010-05-18,4,A,O,A.O,24,0.586308961,6.64E-03,1.36E-03
9735548,2010,138,2010-05-18,5,A,O,A.O,27,0.632878199,9.40E-03,1.81E-03
9735534,2010,139,2010-05-19,1,A,N,A.N,115,0.615879133,6.99E-03,6.52E-04
9735538,2010,139,2010-05-19,2,A,N,A.N,111,0.6300933,6.11E-03,5.80E-04
9735545,2010,139,2010-05-19,3,A,N,A.N,74,0.645130475,9.26E-03,1.08E-03
9735536,2010,139,2010-05-19,4,A,N,A.N,87,0.639332805,9.99E-03,1.07E-03
9735542,2010,139,2010-05-19,5,A,N,A.N,120,0.634583198,1.43E-02,1.30E-03
9735551,2010,139,2010-05-19,1,A,O,A.O,83,0.638234531,6.54E-03,7.18E-04
9735541,2010,139,2010-05-19,2,A,O,A.O,89,0.647727245,1.20E-02,1.27E-03
9735539,2010,139,2010-05-19,3,A,O,A.O,80,0.680846595,1.07E-02,1.20E-03
9735535,2010,139,2010-05-19,4,A,O,A.O,99,0.586858601,1.21E-02,1.21E-03
9735548,2010,139,2010-05-19,5,A,O,A.O,120,0.631140262,1.22E-02,1.12E-03
9735537,2010,139,2010-05-19,1,C,N,C.N,101,0.658189889,6.74E-03,6.71E-04
9735547,2010,139,2010-05-19,3,C,N,C.N,115,0.632448558,0.010363453,9.66E-04
9735550,2010,139,2010-05-19,4,C,N,C.N,46,0.615278094,2.11E-02,3.11E-03
9735544,2010,139,2010-05-19,5,C,N,C.N,117,0.571749477,9.91E-03,9.16E-04
9735552,2010,139,2010-05-19,1,C,O,C.O,47,0.66347761,5.64E-03,8.23E-04
9735543,2010,139,2010-05-19,2,C,O,C.O,77,0.679074765,8.46E-03,9.64E-04
9735555,2010,139,2010-05-19,4,C,O,C.O,117,0.630445094,1.53E-02,1.42E-03
9735546,2010,139,2010-05-19,5,C,O,C.O,63,0.620500554,1.04E-02,1.31E-03
9735534,2010,140,2010-05-20,1,A,N,A.N,108,0.615139103,6.13E-03,5.90E-04
9735538,2010,140,2010-05-20,2,A,N,A.N,105,0.628520708,5.31E-03,5.18E-04
9735545,2010,140,2010-05-20,3,A,N,A.N,66,0.636607458,9.55E-03,1.18E-03
9735536,2010,140,2010-05-20,4,A,N,A.N,82,0.637340459,8.18E-03,9.03E-04
9735542,2010,140,2010-05-20,5,A,N,A.N,116,0.635178614,1.34E-02,1.25E-03
9735551,2010,140,2010-05-20,1,A,O,A.O,69,0.638954691,7.63E-03,9.18E-04
9735541,2010,140,2010-05-20,2,A,O,A.O,82,0.646882391,1.21E-02,1.34E-03
9735539,2010,140,2010-05-20,3,A,O,A.O,82,0.674716752,1.13E-02,1.25E-03
9735535,2010,140,2010-05-20,4,A,O,A.O,93,0.581823705,1.25E-02,1.30E-03
9735548,2010,140,2010-05-20,5,A,O,A.O,115,0.631288122,1.25E-02,1.17E-03
9735537,2010,140,2010-05-20,1,C,N,C.N,97,0.658428723,6.74E-03,6.85E-04
9735554,2010,140,2010-05-20,2,C,N,C.N,58,0.669737582,6.09E-03,8.00E-04
9735547,2010,140,2010-05-20,3,C,N,C.N,114,0.62831168,1.16E-02,1.08E-03
9735550,2010,140,2010-05-20,4,C,N,C.N,115,0.629784903,9.24E-03,8.61E-04
9735544,2010,140,2010-05-20,5,C,N,C.N,111,0.571986204,8.55E-03,8.11E-04
9735552,2010,140,2010-05-20,1,C,O,C.O,65,0.65459121,1.15E-02,1.43E-03
9735543,2010,140,2010-05-20,2,C,O,C.O,86,0.677464689,1.18E-02,1.28E-03
9735553,2010,140,2010-05-20,3,C,O,C.O,46,0.669032686,5.97E-03,8.80E-04
9735555,2010,140,2010-05-20,4,C,O,C.O,79,0.62666072,9.13E-03,1.03E-03
9735546,2010,140,2010-05-20,5,C,O,C.O,81,0.603467806,1.55E-02,1.72E-03
9735534,2010,141,2010-05-21,1,A,N,A.N,88,0.611298798,6.90E-03,7.36E-04
9735538,2010,141,2010-05-21,2,A,N,A.N,89,0.632412782,4.82E-03,5.11E-04
9735545,2010,141,2010-05-21,3,A,N,A.N,86,0.63928102,8.83E-03,9.52E-04
9735536,2010,141,2010-05-21,4,A,N,A.N,87,0.633962005,8.66E-03,9.28E-04
9735542,2010,141,2010-05-21,5,A,N,A.N,84,0.621689628,1.23E-02,1.34E-03
9735551,2010,141,2010-05-21,1,A,O,A.O,84,0.630207582,8.33E-03,9.09E-04
9735541,2010,141,2010-05-21,2,A,O,A.O,87,0.641948129,1.29E-02,1.38E-03
9735539,2010,141,2010-05-21,3,A,O,A.O,86,0.670508147,1.37E-02,1.48E-03
9735535,2010,141,2010-05-21,4,A,O,A.O,87,0.577185214,1.21E-02,1.30E-03
9735548,2010,141,2010-05-21,5,A,O,A.O,84,0.62469659,1.02E-02,1.12E-03
9735537,2010,141,2010-05-21,1,C,N,C.N,86,0.658730742,5.76E-03,6.22E-04
9735554,2010,141,2010-05-21,2,C,N,C.N,84,0.668661771,5.89E-03,6.43E-04
9735547,2010,141,2010-05-21,3,C,N,C.N,86,0.626472422,8.11E-03,8.74E-04
9735550,2010,141,2010-05-21,4,C,N,C.N,84,0.626368965,9.97E-03,1.09E-03
9735544,2010,141,2010-05-21,5,C,N,C.N,82,0.56745397,9.32E-03,1.03E-03
9735552,2010,141,2010-05-21,1,C,O,C.O,84,0.659734381,1.30E-02,1.42E-03
9735543,2010,141,2010-05-21,2,C,O,C.O,85,0.675956459,1.26E-02,1.37E-03
9735553,2010,141,2010-05-21,3,C,O,C.O,80,0.667907397,1.09E-02,1.21E-03
9735555,2010,141,2010-05-21,4,C,O,C.O,84,0.629017756,1.03E-02,1.13E-03
9735546,2010,141,2010-05-21,5,C,O,C.O,84,0.607489229,1.22E-02,1.34E-03
9735534,2010,143,2010-05-23,1,A,N,A.N,13,0.601614316,9.63E-03,2.67E-03
9735538,2010,143,2010-05-23,2,A,N,A.N,12,0.62628402,8.41E-03,2.43E-03
9735545,2010,143,2010-05-23,3,A,N,A.N,4,0.6323337,4.11E-03,2.05E-03
9735536,2010,143,2010-05-23,4,A,N,A.N,11,0.633290724,1.10E-02,3.31E-03
9735542,2010,143,2010-05-23,5,A,N,A.N,17,0.629806174,8.67E-03,2.10E-03
9735551,2010,143,2010-05-23,1,A,O,A.O,5,0.62613242,8.93E-03,3.99E-03
9735541,2010,143,2010-05-23,2,A,O,A.O,8,0.642424989,7.95E-03,2.81E-03
9735539,2010,143,2010-05-23,3,A,O,A.O,2,0.659851046,1.14E-02,8.07E-03
9735535,2010,143,2010-05-23,4,A,O,A.O,11,0.575328492,1.24E-02,3.75E-03
9735548,2010,143,2010-05-23,5,A,O,A.O,15,0.628284976,1.27E-02,3.29E-03
9735537,2010,143,2010-05-23,1,C,N,C.N,7,0.651815891,8.79E-03,3.32E-03
9735554,2010,143,2010-05-23,2,C,N,C.N,5,0.662989279,8.55E-03,3.82E-03
9735547,2010,143,2010-05-23,3,C,N,C.N,11,0.632757664,1.28E-02,3.86E-03
9735550,2010,143,2010-05-23,4,C,N,C.N,14,0.62338253,1.06E-02,2.84E-03
9735544,2010,143,2010-05-23,5,C,N,C.N,11,0.564345622,5.85E-03,1.76E-03
9735552,2010,143,2010-05-23,1,C,O,C.O,3,0.639941373,7.19E-03,4.15E-03
9735543,2010,143,2010-05-23,2,C,O,C.O,8,0.6745234,1.21E-02,4.28E-03
9735553,2010,143,2010-05-23,3,C,O,C.O,2,0.66321211,1.62E-02,1.14E-02
9735555,2010,143,2010-05-23,4,C,O,C.O,10,0.622417973,1.04E-02,3.29E-03
9735546,2010,143,2010-05-23,5,C,O,C.O,10,0.599485436,1.09E-02,3.45E-03
9735534,2010,144,2010-05-24,1,A,N,A.N,114,0.611371813,6.72E-03,6.29E-04
9735538,2010,144,2010-05-24,2,A,N,A.N,107,0.632487274,5.74E-03,5.55E-04
9735545,2010,144,2010-05-24,3,A,N,A.N,84,0.646766128,9.25E-03,1.01E-03
9735536,2010,144,2010-05-24,4,A,N,A.N,105,0.641625372,1.15E-02,1.13E-03
9735542,2010,144,2010-05-24,5,A,N,A.N,114,0.637747413,1.31E-02,1.23E-03
9735551,2010,144,2010-05-24,1,A,O,A.O,104,0.641851845,8.31E-03,8.15E-04
9735541,2010,144,2010-05-24,2,A,O,A.O,92,0.655171681,1.03E-02,1.07E-03
9735539,2010,144,2010-05-24,3,A,O,A.O,104,0.682629703,1.32E-02,1.29E-03
9735535,2010,144,2010-05-24,4,A,O,A.O,104,0.590563385,1.25E-02,1.23E-03
9735548,2010,144,2010-05-24,5,A,O,A.O,109,0.637004516,1.30E-02,1.24E-03
9735537,2010,144,2010-05-24,1,C,N,C.N,106,0.663505159,5.47E-03,5.31E-04
9735554,2010,144,2010-05-24,2,C,N,C.N,104,0.668600405,8.84E-03,8.67E-04
9735547,2010,144,2010-05-24,3,C,N,C.N,115,0.633331769,1.19E-02,1.11E-03
9735550,2010,144,2010-05-24,4,C,N,C.N,116,0.632209716,1.05E-02,9.77E-04
9735544,2010,144,2010-05-24,5,C,N,C.N,116,0.573688298,8.41E-03,7.81E-04
9735552,2010,144,2010-05-24,1,C,O,C.O,100,0.666120769,1.07E-02,1.07E-03
9735543,2010,144,2010-05-24,2,C,O,C.O,104,0.681924787,1.19E-02,1.17E-03
9735553,2010,144,2010-05-24,3,C,O,C.O,92,0.677035227,1.08E-02,1.12E-03
9735555,2010,144,2010-05-24,4,C,O,C.O,95,0.633919354,8.92E-03,9.15E-04
9735546,2010,144,2010-05-24,5,C,O,C.O,97,0.615510681,1.22E-02,1.24E-03
9735534,2010,145,2010-05-25,1,A,N,A.N,9,0.611408129,7.28E-03,2.43E-03
9735538,2010,145,2010-05-25,2,A,N,A.N,16,0.631840726,6.65E-03,1.66E-03
9735545,2010,145,2010-05-25,3,A,N,A.N,13,0.641997223,7.41E-03,2.05E-03
9735536,2010,145,2010-05-25,4,A,N,A.N,20,0.634495969,8.45E-03,1.89E-03
9735542,2010,145,2010-05-25,5,A,N,A.N,16,0.624386947,8.02E-03,2.01E-03
9735551,2010,145,2010-05-25,1,A,O,A.O,14,0.635369843,5.12E-03,1.37E-03
9735541,2010,145,2010-05-25,2,A,O,A.O,15,0.644667348,1.19E-02,3.06E-03
9735539,2010,145,2010-05-25,3,A,O,A.O,17,0.67161558,9.68E-03,2.35E-03
9735535,2010,145,2010-05-25,4,A,O,A.O,17,0.580624595,7.08E-03,1.72E-03
9735548,2010,145,2010-05-25,5,A,O,A.O,15,0.626908536,5.71E-03,1.47E-03
9735537,2010,145,2010-05-25,1,C,N,C.N,14,0.656035334,7.75E-03,2.07E-03
9735554,2010,145,2010-05-25,2,C,N,C.N,17,0.664083881,5.53E-03,1.34E-03
9735547,2010,145,2010-05-25,3,C,N,C.N,14,0.626922504,8.14E-03,2.18E-03
9735550,2010,145,2010-05-25,4,C,N,C.N,14,0.622602359,7.17E-03,1.92E-03
9735544,2010,145,2010-05-25,5,C,N,C.N,13,0.563107975,5.93E-03,1.64E-03
9735552,2010,145,2010-05-25,1,C,O,C.O,17,0.653398189,0.0101609,2.46E-03
9735543,2010,145,2010-05-25,2,C,O,C.O,16,0.674551261,6.30E-03,1.57E-03
9735553,2010,145,2010-05-25,3,C,O,C.O,18,0.664050283,1.03E-02,2.44E-03
9735555,2010,145,2010-05-25,4,C,O,C.O,11,0.630161425,7.38E-03,2.22E-03
9735546,2010,145,2010-05-25,5,C,O,C.O,13,0.608347699,1.11E-02,3.07E-03
9735534,2010,146,2010-05-26,1,A,N,A.N,48,0.614410207,5.78E-03,8.34E-04
9735538,2010,146,2010-05-26,2,A,N,A.N,54,0.633982286,6.33E-03,8.62E-04
9735545,2010,146,2010-05-26,3,A,N,A.N,46,0.64755775,9.25E-03,1.36E-03
9735536,2010,146,2010-05-26,4,A,N,A.N,52,0.636401673,9.36E-03,1.30E-03
9735542,2010,146,2010-05-26,5,A,N,A.N,51,0.626822283,1.46E-02,2.04E-03
9735551,2010,146,2010-05-26,1,A,O,A.O,51,0.638748181,9.45E-03,1.32E-03
9735541,2010,146,2010-05-26,2,A,O,A.O,51,0.648342342,1.60E-02,2.25E-03
9735539,2010,146,2010-05-26,3,A,O,A.O,53,0.679345312,1.52E-02,2.08E-03
9735535,2010,146,2010-05-26,4,A,O,A.O,48,0.582047254,0.011952177,1.73E-03
9735548,2010,146,2010-05-26,5,A,O,A.O,48,0.633593065,0.011255022,1.62E-03
9735537,2010,146,2010-05-26,1,C,N,C.N,49,0.661413633,7.72E-03,1.10E-03
9735554,2010,146,2010-05-26,2,C,N,C.N,53,0.664880276,7.14E-03,9.80E-04
9735547,2010,146,2010-05-26,3,C,N,C.N,47,0.63013035,1.18E-02,1.73E-03
9735550,2010,146,2010-05-26,4,C,N,C.N,52,0.624857345,1.13E-02,1.57E-03
9735544,2010,146,2010-05-26,5,C,N,C.N,52,0.571422679,6.92E-03,9.60E-04
9735552,2010,146,2010-05-26,1,C,O,C.O,53,0.655304243,1.36E-02,1.87E-03
9735543,2010,146,2010-05-26,2,C,O,C.O,51,0.677212761,1.19E-02,1.66E-03
9735553,2010,146,2010-05-26,3,C,O,C.O,52,0.670568409,1.38E-02,0.001920016
9735555,2010,146,2010-05-26,4,C,O,C.O,50,0.630393546,8.21E-03,1.16E-03
9735546,2010,146,2010-05-26,5,C,O,C.O,50,0.61130957,1.14E-02,1.61E-03
9735534,2010,147,2010-05-27,1,A,N,A.N,32,0.615435434,6.07E-03,1.07E-03
9735538,2010,147,2010-05-27,2,A,N,A.N,50,0.633660472,5.90E-03,8.35E-04
9735545,2010,147,2010-05-27,3,A,N,A.N,42,0.654617644,6.91E-03,1.07E-03
9735536,2010,147,2010-05-27,4,A,N,A.N,54,0.642893153,1.17E-02,1.59E-03
9735542,2010,147,2010-05-27,5,A,N,A.N,53,0.632294398,1.11E-02,1.52E-03
9735551,2010,147,2010-05-27,1,A,O,A.O,37,0.643016461,7.99E-03,1.31E-03
9735541,2010,147,2010-05-27,2,A,O,A.O,47,0.663557253,1.15E-02,1.68E-03
9735539,2010,147,2010-05-27,3,A,O,A.O,48,0.691332069,1.34E-02,1.94E-03
9735535,2010,147,2010-05-27,4,A,O,A.O,44,0.592828901,1.29E-02,1.94E-03
9735548,2010,147,2010-05-27,5,A,O,A.O,52,0.638958423,1.13E-02,1.57E-03
9735537,2010,147,2010-05-27,1,C,N,C.N,36,0.661587473,7.03E-03,1.17E-03
9735554,2010,147,2010-05-27,2,C,N,C.N,47,0.669900473,7.18E-03,1.05E-03
9735547,2010,147,2010-05-27,3,C,N,C.N,35,0.639091999,1.13E-02,1.90E-03
9735550,2010,147,2010-05-27,4,C,N,C.N,52,0.629346822,9.51E-03,1.32E-03
9735544,2010,147,2010-05-27,5,C,N,C.N,53,0.571907092,9.50E-03,1.31E-03
9735552,2010,147,2010-05-27,1,C,O,C.O,48,0.666587962,9.66E-03,1.39E-03
9735543,2010,147,2010-05-27,2,C,O,C.O,44,0.684462107,1.06E-02,1.59E-03
9735553,2010,147,2010-05-27,3,C,O,C.O,48,0.677357515,1.22E-02,0.00176185
9735555,2010,147,2010-05-27,4,C,O,C.O,52,0.63735144,1.07E-02,1.48E-03
9735546,2010,147,2010-05-27,5,C,O,C.O,51,0.615601731,1.04E-02,1.46E-03
9735534,2010,148,2010-05-28,1,A,N,A.N,40,0.616615213,8.23E-03,1.30E-03
9735538,2010,148,2010-05-28,2,A,N,A.N,50,0.639486655,7.40E-03,1.05E-03
9735545,2010,148,2010-05-28,3,A,N,A.N,50,0.658395746,7.84E-03,1.11E-03
9735536,2010,148,2010-05-28,4,A,N,A.N,55,0.644854228,8.42E-03,1.13E-03
9735542,2010,148,2010-05-28,5,A,N,A.N,54,0.632233531,1.00E-02,1.36E-03
9735551,2010,148,2010-05-28,1,A,O,A.O,44,0.650598429,8.88E-03,1.34E-03
9735541,2010,148,2010-05-28,2,A,O,A.O,50,0.665539704,9.82E-03,1.39E-03
9735539,2010,148,2010-05-28,3,A,O,A.O,52,0.691408888,1.15E-02,1.60E-03
9735535,2010,148,2010-05-28,4,A,O,A.O,56,0.592040507,1.31E-02,1.75E-03
9735548,2010,148,2010-05-28,5,A,O,A.O,53,0.637732153,1.10E-02,1.51E-03
9735537,2010,148,2010-05-28,1,C,N,C.N,45,0.667277569,7.94E-03,1.18E-03
9735554,2010,148,2010-05-28,2,C,N,C.N,47,0.670376373,5.85E-03,8.53E-04
9735547,2010,148,2010-05-28,3,C,N,C.N,40,0.638447633,8.20E-03,1.30E-03
9735550,2010,148,2010-05-28,4,C,N,C.N,55,0.629946595,8.77E-03,1.18E-03
9735544,2010,148,2010-05-28,5,C,N,C.N,54,0.572604436,8.37E-03,1.14E-03
9735552,2010,148,2010-05-28,1,C,O,C.O,49,0.670058471,8.65E-03,1.24E-03
9735543,2010,148,2010-05-28,2,C,O,C.O,48,0.687592749,1.00E-02,1.44E-03
9735553,2010,148,2010-05-28,3,C,O,C.O,48,0.682390266,1.13E-02,1.63E-03
9735555,2010,148,2010-05-28,4,C,O,C.O,54,0.64257459,8.47E-03,1.15E-03
9735546,2010,148,2010-05-28,5,C,O,C.O,53,0.617870955,1.02E-02,1.40E-03
9735534,2010,149,2010-05-29,1,A,N,A.N,120,0.626129954,7.51E-03,6.86E-04
9735538,2010,149,2010-05-29,2,A,N,A.N,120,0.642232923,5.64E-03,5.15E-04
9735545,2010,149,2010-05-29,3,A,N,A.N,105,0.667042408,1.04E-02,1.02E-03
9735536,2010,149,2010-05-29,4,A,N,A.N,117,0.649597382,1.14E-02,1.05E-03
9735542,2010,149,2010-05-29,5,A,N,A.N,117,0.638204607,1.47E-02,1.36E-03
9735551,2010,149,2010-05-29,1,A,O,A.O,120,0.660443481,7.98E-03,7.28E-04
9735541,2010,149,2010-05-29,2,A,O,A.O,106,0.669606858,0.013152873,1.28E-03
9735539,2010,149,2010-05-29,3,A,O,A.O,120,0.697585128,1.29E-02,1.18E-03
9735535,2010,149,2010-05-29,4,A,O,A.O,115,0.599471081,1.27E-02,1.19E-03
9735548,2010,149,2010-05-29,5,A,O,A.O,116,0.646799323,1.15E-02,1.07E-03
9735537,2010,149,2010-05-29,1,C,N,C.N,120,0.676396877,5.83E-03,5.32E-04
9735554,2010,149,2010-05-29,2,C,N,C.N,120,0.676112031,7.48E-03,6.83E-04
9735547,2010,149,2010-05-29,3,C,N,C.N,120,0.647950521,1.12E-02,1.03E-03
9735550,2010,149,2010-05-29,4,C,N,C.N,116,0.634936766,1.11E-02,1.03E-03
9735544,2010,149,2010-05-29,5,C,N,C.N,117,0.581022249,8.44E-03,7.80E-04
9735552,2010,149,2010-05-29,1,C,O,C.O,120,0.674090995,1.31E-02,1.20E-03
9735543,2010,149,2010-05-29,2,C,O,C.O,120,0.693221057,1.11E-02,1.02E-03
9735553,2010,149,2010-05-29,3,C,O,C.O,112,0.685283386,1.31E-02,1.24E-03
9735555,2010,149,2010-05-29,4,C,O,C.O,108,0.642794018,9.57E-03,9.21E-04
9735546,2010,149,2010-05-29,5,C,O,C.O,113,0.627132903,9.06E-03,8.52E-04
9735534,2010,150,2010-05-30,1,A,N,A.N,67,0.625277204,8.24E-03,1.01E-03
9735538,2010,150,2010-05-30,2,A,N,A.N,65,0.643982726,6.85E-03,8.49E-04
9735545,2010,150,2010-05-30,3,A,N,A.N,60,0.671288845,8.03E-03,1.04E-03
9735536,2010,150,2010-05-30,4,A,N,A.N,66,0.650243441,9.78E-03,1.20E-03
9735542,2010,150,2010-05-30,5,A,N,A.N,66,0.641799885,1.20E-02,1.47E-03
9735551,2010,150,2010-05-30,1,A,O,A.O,61,0.65974708,8.57E-03,1.10E-03
