year,doy,date,block,treatment,subsample,depth
2010,124,2010-05-04,1,C.N,,21.5
2010,124,2010-05-04,2,C.N,,15
2010,124,2010-05-04,3,C.N,,20.5
2010,124,2010-05-04,4,C.N,,22
2010,124,2010-05-04,5,C.N,,19.5
2010,124,2010-05-04,1,A.N,,15
2010,124,2010-05-04,2,A.N,,30
2010,124,2010-05-04,3,A.N,,27.5
2010,124,2010-05-04,4,A.N,,35
2010,124,2010-05-04,5,A.N,,32.5
2010,128,2010-05-08,1,C.N,,22.5
2010,128,2010-05-08,2,C.N,,13.5
2010,128,2010-05-08,3,C.N,,18.5
2010,128,2010-05-08,4,C.N,,23.5
2010,128,2010-05-08,5,C.N,,20.5
2010,128,2010-05-08,1,A.N,,0
2010,128,2010-05-08,2,A.N,,0
2010,128,2010-05-08,3,A.N,,0
2010,128,2010-05-08,4,A.N,,0
2010,128,2010-05-08,5,A.N,,0
2010,129,2010-05-09,1,C.N,,24
2010,129,2010-05-09,2,C.N,,13.5
2010,129,2010-05-09,3,C.N,,21.5
2010,129,2010-05-09,4,C.N,,24
2010,129,2010-05-09,5,C.N,,21.5
2010,129,2010-05-09,1,A.N,,0
2010,129,2010-05-09,2,A.N,,0
2010,129,2010-05-09,3,A.N,,0
2010,129,2010-05-09,4,A.N,,0
2010,129,2010-05-09,5,A.N,,0
2010,131,2010-05-11,1,C.N,,36.5
2010,131,2010-05-11,2,C.N,,24.5
2010,131,2010-05-11,3,C.N,,27
2010,131,2010-05-11,4,C.N,,30
2010,131,2010-05-11,5,C.N,,30
2010,131,2010-05-11,1,A.N,,0
2010,131,2010-05-11,2,A.N,,0
2010,131,2010-05-11,3,A.N,,0
2010,131,2010-05-11,4,A.N,,0
2010,131,2010-05-11,5,A.N,,0
2010,133,2010-05-13,1,C.N,,25
2010,133,2010-05-13,2,C.N,,14
2010,133,2010-05-13,3,C.N,,20.5
2010,133,2010-05-13,4,C.N,,25.5
2010,133,2010-05-13,5,C.N,,22
2010,133,2010-05-13,1,A.N,,0
2010,133,2010-05-13,2,A.N,,0
2010,133,2010-05-13,3,A.N,,0
2010,133,2010-05-13,4,A.N,,0
2010,133,2010-05-13,5,A.N,,0
2010,134,2010-05-14,1,C.N,,21.5
2010,134,2010-05-14,2,C.N,,11
2010,134,2010-05-14,3,C.N,,18.5
2010,134,2010-05-14,4,C.N,,21
2010,134,2010-05-14,5,C.N,,17.5
2010,134,2010-05-14,1,A.N,,0
2010,134,2010-05-14,2,A.N,,0
2010,134.5,2010-05-14,2,A.N,,0
2010,134,2010-05-14,3,A.N,,0
2010,134,2010-05-14,4,A.N,,0
2010,134,2010-05-14,5,A.N,,0
2011,119,2011-04-29,1,A.N,1,43
2011,119,2011-04-29,1,A.N,2,43
2011,119,2011-04-29,1,A.N,3,42
2011,119,2011-04-29,1,A.N,4,56
2011,119,2011-04-29,1,A.N,5,46
2011,119,2011-04-29,1,A.N,6,28
2011,119,2011-04-29,1,A.N,7,30
2011,119,2011-04-29,1,A.N,8,30
2011,119,2011-04-29,1,A.N,9,41
2011,119,2011-04-29,1,A.N,10,42
2011,119,2011-04-29,1,A.N,11,37
2011,119,2011-04-29,1,A.N,12,45
2011,119,2011-04-29,1,C.N,1,32
2011,119,2011-04-29,1,C.N,2,42
2011,119,2011-04-29,1,C.N,3,50
2011,119,2011-04-29,1,C.N,4,42
2011,119,2011-04-29,1,C.N,5,41
2011,119,2011-04-29,1,C.N,6,31
2011,119,2011-04-29,1,C.N,7,36
2011,119,2011-04-29,1,C.N,8,36
2011,119,2011-04-29,1,C.N,9,49
2011,119,2011-04-29,1,C.N,10,55
2011,119,2011-04-29,1,C.N,11,49
2011,119,2011-04-29,1,C.N,12,46
