year,doy,date,block,treatment,tussock,nh4,no3,tfpa,labile,carbohydrate,suspicious,notes
2010,153,6/2/2010,1,A.N,I,6.997948732,2.9,0,9.897948732,,,
2010,153,6/2/2010,1,A.N,T,19.47255299,0,0.92380374,20.39635673,,,
2010,153,6/2/2010,1,A.O,I,3.651103686,1.09,0,4.741103686,,,
2010,153,6/2/2010,1,A.O,T,7.606466013,0,1.788818178,9.395284191,,,
2010,153,6/2/2010,1,C.N,I,1.217034562,7.42,0,8.637034562,,,
2010,153,6/2/2010,1,C.N,T,2.434069124,17.98,0.445432824,20.85950195,,,
2010,153,6/2/2010,1,C.O,I,1.217034562,7.73,0.27622301,9.223257572,,,
2010,153,6/2/2010,1,C.O,T,13.99589746,12.85,0,26.84589746,,,
2010,153,6/2/2010,2,A.N,I,8.823500575,1.09,0,9.913500575,,,
2010,153,6/2/2010,2,A.N,T,26.16624308,3.2,2.817576483,32.18381956,,,
2010,153,6/2/2010,2,A.O,I,13.99589746,1.09,0,15.08589746,,,
2010,153,6/2/2010,2,A.O,T,16.42996659,1.39,0,17.81996659,,,
2010,153,6/2/2010,2,C.N,I,0,8.03,0,8.03,,,
2010,153,6/2/2010,2,C.N,T,22.21088076,16.47,17.12464338,55.80552414,,,
2010,153,6/2/2010,2,C.O,I,1.825551843,4.11,0,5.935551843,,,
2010,153,6/2/2010,2,C.O,T,13.38738018,8.93,0,22.31738018,,,
2010,153,6/2/2010,3,A.N,I,4.259620967,0,0,4.259620967,,,
2010,153,6/2/2010,3,A.N,T,39.24936463,1.7,12.96577578,53.91514041,,,
2010,153,6/2/2010,3,A.O,I,4.563879608,2,0,6.563879608,,,
2010,153,6/2/2010,3,A.O,T,8.519241934,1.39,1.719534677,11.62877661,,,
2010,153,6/2/2010,3,C.N,I,17.64700115,9.84,0,27.48700115,,,
2010,153,6/2/2010,3,C.N,T,9.736276497,12.85,10.55681341,33.14308991,,,
2010,153,6/2/2010,3,C.O,I,14.3001561,12.55,3.967959445,30.81811555,,,
2010,153,6/2/2010,3,C.O,T,6.08517281,8.03,0,14.11517281,,,
2010,153,6/2/2010,4,A.N,I,2.434069124,0.79,0,3.224069124,,,
2010,153,6/2/2010,4,A.N,T,1.521293203,0.79,0,2.311293203,,,
2010,153,6/2/2010,4,A.O,I,4.563879608,1.39,0,5.953879608,,,
2010,153,6/2/2010,4,A.O,T,10.04053514,0.49,9.368464105,19.89899925,,,
2010,153,6/2/2010,4,C.N,I,3.651103686,17.07,0,20.72110369,,,
2010,153,6/2/2010,4,C.N,T,7.302207372,7.42,0,14.72220737,,,
2010,153,6/2/2010,4,C.O,I,1.217034562,6.22,0,7.437034562,,,
2010,153,6/2/2010,4,C.O,T,3.042586405,1.39,0.565708796,4.998295201,,,
2010,153,6/2/2010,5,A.N,I,1.217034562,0.19,0,1.407034562,,,
2010,153,6/2/2010,5,A.N,T,3.651103686,2.3,11.60133082,17.55243451,,,
2010,153,6/2/2010,5,A.O,I,14.60441474,2,0,16.60441474,,,
2010,153,6/2/2010,5,A.O,T,3.651103686,0.19,7.249460824,11.09056451,,,
2010,153,6/2/2010,5,C.N,I,2.738327765,11.04,0,13.77832777,,,
2010,153,6/2/2010,5,C.N,T,3.042586405,5.61,0,8.652586405,,,
2010,153,6/2/2010,5,C.O,I,2.129810484,8.63,0,10.75981048,,,
2010,153,6/2/2010,5,C.O,T,2.129810484,2,0,4.129810484,,,
2010,158,6/7/2010,1,A.N,I,1.183177199,0,0,1.183177199,,,
2010,158,6/7/2010,1,A.N,T,4.732708797,3.2,0,7.932708797,,,
2010,158,6/7/2010,1,A.O,I,2.957942998,11.04,0,13.997943,,,
2010,158,6/7/2010,1,A.O,T,5.028503097,8.63,0,13.6585031,,,
2010,158,6/7/2010,1,C.N,I,3.549531598,0.19,0,3.739531598,,,
2010,158,6/7/2010,1,C.N,T,0.5915886,0,0,0.5915886,,,
2010,158,6/7/2010,1,C.O,I,2.070560099,1.39,0,3.460560099,,,
2010,158,6/7/2010,1,C.O,T,2.366354398,0.19,0,2.556354398,,,
2010,158,6/7/2010,2,A.N,I,2.662148698,0.49,0,3.152148698,,,
2010,158,6/7/2010,2,A.N,T,9.761211893,1.39,0,11.15121189,,,
2010,158,6/7/2010,2,A.O,I,3.253737298,0.79,0,4.043737298,,,
2010,158,6/7/2010,2,A.O,T,4.141120197,5.31,0,9.451120197,,,
2010,158,6/7/2010,2,C.N,I,0,0,0,0,,,
2010,158,6/7/2010,2,C.N,T,19.81821809,0,0,19.81821809,,,
2010,158,6/7/2010,2,C.O,I,0,1.39,0,1.39,,,
2010,158,6/7/2010,2,C.O,T,2.070560099,0,0,2.070560099,,,
2010,158,6/7/2010,3,A.N,I,2.957942998,1.09,0,4.047942998,,,
